tecnico,nota,tipo,latitude,longitude
Tecnico A,1001,MDFC,-9.6582,-35.7015
Tecnico A,1002,MDFC,-9.6595,-35.7032
Tecnico A,1003,ALGC,-9.6610,-35.7050
Tecnico A,1004,ALGC,-9.6558,-35.7001
Tecnico A,1005,MDFC,-9.6512,-35.7085
Tecnico A,1006,MDFC,-9.6495,-35.7120
Tecnico A,1007,APRO,-9.6450,-35.7152
Tecnico A,1008,ALDS,-9.6410,-35.7180
Tecnico A,1009,MDFC,-9.6480,-35.7250
Tecnico A,1010,MDFC,-9.6465,-35.7292
Tecnico A,1011,ALGC,-9.6520,-35.7275
Tecnico A,1012,ALGC,-9.6538,-35.7248
Tecnico A,1013,MDFC,-9.6640,-35.7350
Tecnico A,1014,MDFC,-9.6675,-35.7320
Tecnico A,1015,ALGC,-9.6698,-35.7375
Tecnico A,1016,ALGC,-9.6612,-35.7420
Tecnico A,1017,MDFC,-9.5610,-35.7282
Tecnico A,1018,MDFC,-9.5635,-35.7250
Tecnico A,1019,ALGC,-9.5590,-35.7315
Tecnico A,1020,ALGC,-9.5572,-35.7298
Tecnico A,1021,MDFC,-9.5662,-35.7205
Tecnico A,1022,MDFC,-9.5695,-35.7230
Tecnico A,1023,ALDS,-9.5710,-35.7265
Tecnico A,1024,ALDP,-9.5732,-35.7288
Tecnico A,1025,MDFC,-9.5950,-35.7602
Tecnico A,1026,MDFC,-9.5975,-35.7635
Tecnico A,1027,ALGC,-9.5930,-35.7580
Tecnico A,1028,ALGC,-9.5912,-35.7620
Tecnico A,1029,MDFC,-9.6015,-35.7680
Tecnico A,1030,MDFC,-9.6042,-35.7665
Tecnico A,1031,ALDS,-9.5890,-35.7720
Tecnico A,1032,ALDP,-9.5875,-35.7752
Tecnico A,1033,MDFC,-9.5902,-35.7820
Tecnico A,1034,MDFC,-9.5925,-35.7845
Tecnico A,1035,ALGC,-9.5880,-35.7802
Tecnico A,1036,ALGC,-9.5862,-35.7830
Tecnico A,1037,MDFC,-9.7125,-35.8452
Tecnico A,1038,MDFC,-9.7148,-35.8480
Tecnico A,1039,ALGC,-9.7101,-35.8420
Tecnico A,1040,ALGC,-9.7082,-35.8405
Tecnico A,1041,MDFC,-9.4752,-35.8505
Tecnico A,1042,MDFC,-9.4780,-35.8482
Tecnico A,1043,ALGC,-9.4735,-35.8540
Tecnico A,1044,ALGC,-9.4712,-35.8522
Tecnico A,1045,MDFC,-9.6205,-35.7002
Tecnico A,1046,MDFC,-9.6185,-35.7025
Tecnico A,1047,ALGC,-9.6220,-35.6980
Tecnico A,1048,ALGC,-9.6242,-35.6965
Tecnico A,1049,MDFC,-9.6305,-35.7502
Tecnico A,1050,MDFC,-9.6328,-35.7535
Tecnico A,1051,ALGC,-9.6280,-35.7485
Tecnico A,1052,ALGC,-9.6262,-35.7512
Tecnico A,1053,MDFC,-9.6820,-35.7650
Tecnico A,1054,MDFC,-9.6845,-35.7675
Tecnico A,1055,ALGC,-9.6798,-35.7620
Tecnico A,1056,ALGC,-9.6782,-35.7695
Tecnico A,1057,APRO,-9.6858,-35.7720
Tecnico A,1058,ALDS,-9.6880,-35.7750
Tecnico A,1059,ALDP,-9.6910,-35.7785
Tecnico A,1060,MDFC,-9.6932,-35.7810
,2001,MDFC,-9.8010,-35.9520
,2002,MDFC,-9.8035,-35.9542
,2003,ALGC,-9.8060,-35.9505
,2004,ALGC,-9.8082,-35.9568
,2005,MDFC,-9.7950,-35.9480
,2006,MDFC,-9.7925,-35.9495
,2007,ALGC,-9.7910,-35.9515
,2008,ALGC,-9.7895,-35.9530
,3001,MDFC,-9.3505,-35.6120
,3002,MDFC,-9.3520,-35.6135
,3003,ALGC,-9.3535,-35.6148
,3004,ALGC,-9.3548,-35.6160
